name,avatar,draft_image,goods_image,artist_link
丽君,https://img.z4a.net/images/2026/06/14/artist01-avatar.jpeg,https://img.z4a.net/images/2026/06/14/artist01-draft.md.png,https://img.z4a.net/image/artist01-goods.SRO15Z,https://space.bilibili.com/33799676?spm_id_from=333.337.0.0
鹿子,https://img.z4a.net/images/2026/06/15/artist02-avatar.jpeg,,,https://www.douyin.com/user/MS4wLjABAAAAU9eKqvDsChZ3y0YuRyA7SBtE0rElgWK9f-SkE9YLKv6esxRUTSBzdFwA_dxrmxRE?from_tab_name=main
